CDSSYS,CDS_SUPP_QUOTES,,EN
ID,SUPPLIER_NAME,SUPPLIER_CONTACT,PART_NO,ENQUIRY_QTY_1,ENQUIRY_QTY_2,ENQUIRY_QTY_3,ENQUIRY_QTY_4,DATE_RAISED,PART_DESC,CURRENT_PART_ISSUE,PUR_QTY_1,PUR_COST_1,PUR_LT_1,PUR_QTY_2,PUR_COST_2,PUR_LT_2,PUR_QTY_3,PUR_COST_3,PUR_LT_3,PUR_QTY_4,PUR_COST_4,PUR_LT_4,PUR_FAI_COST,PUR_FAI_LT,PUR_TOOL_COST,PUR_TOOL_LT,ECR_LT,SC_LT,COMMENTS
7778,REDMAYNE ENGINEERING,,KDCA814,1,5,10,50,2015-09-11,COVER                    ,   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7780,HARTLEY PRECISION M,,77600359,1,5,10,50,2015-09-11,SLEEVE ASSY              ,1,5,1738.1,32,10,1209.1,32,50,593.7,0,0,0,0,150,0,380,0,0,0,5=moq
7782,HARTLEY PRECISION M,,77600359,1,5,10,50,2015-09-11,SLEEVE ASSY              ,1,5,1738.1,32,10,1209.1,32,50,593.7,32,0,0,0,150,0,380,0,0,0,5=moq
7784,TEKDATA INTERCONNECTIONS LTD  ,,86623944,1,5,10,50,2015-09-11,CONN & HEADER ASSY (H2)  ,   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7786,AE AEROSPACE LTD,,77117560G5,1,5,10,50,2015-09-11,PISTON              HYPUR,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7790,HALLITE SEALS INT'L LTD,,77564863,1,10,20,100,2015-09-11,DIAPHRAGM ASSEMBLY       ,3,10,450,20,20,415,20,100,395,20,,0,0,0,2,0,0,26,0,moq=5
7791,AMPHENOL INVOTEC LTD          ,,86637352,1,5,10,0,2015-09-11,PWB DRILLING (PSU)       ,   ,1,1320,9,5,318,9,10,230,9,0,0,0,0,0,0,0,0,0,
7793,AMPHENOL INVOTEC LTD          ,,77769932,1,0,0,5,2015-09-11,PWB DRILLING D04         ,   ,1,150,6,0,0,0,0,0,0,5,150,6,0,0,0,0,0,0,
7795,ARROW ELECTRONICS (UK) LTD,,GTS486-62B,1,10,20,100,2015-09-11,RESISTOR TR5             ,   ,5000,0.2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000 = MOQ
7796,ARROW ELECTRONICS (UK) LTD,,GTS2212-911,1,5,10,50,2015-09-11,RESISTOR MRS25           ,   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7803,ARROW ELECTRONICS (UK) LTD,,GTS591-41K,1,10,20,100,2015-09-11,CAPACITOR                ,   ,100,0.298,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MOQ=100
7804,ARROW ELECTRONICS (UK) LTD    ,,GTS1500-139         ,3,0,0,15,2015-09-11,DIC 54HC139              ,   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7805,ARROW ELECTRONICS (UK) LTD    ,,GTS1500-244         ,2,0,0,10,2015-09-11,DIC 54HC244              ,   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7806,ARROW ELECTRONICS (UK) LTD,,GTS1500-374         ,1,0,0,5,2015-09-11,DIC 54HC374              ,   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7808,ARROW ELECTRONICS (UK) LTD,,GTS1605-181K        ,1,0,0,5,2015-09-11,CAPACITOR 1B:B           ,   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7809,ARROW ELECTRONICS (UK) LTD,,GTS1605-181K        ,1,0,0,5,2015-09-11,CAPACITOR 1B:B           ,   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7810,ARROW ELECTRONICS (UK) LTD,,GTS1612-102K        ,1,0,0,5,2015-09-11,CAPACITOR CKR22          ,   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7813,ARROW ELECTRONICS (UK) LTD,,GTS1612-104K        ,5,0,0,25,2015-09-11,CAP (40-564-5324-10M)    ,   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7826,ARROW ELECTRONICS (UK) LTD,,GTS486-86B          ,1,0,0,5,2015-09-11,RESISTOR TR5             ,   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7827,ARROW ELECTRONICS (UK) LTD,,GTS2226-100KF       ,1,0,0,5,2015-09-11,RESISTOR S102/4812       ,   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
