CDSSYS,CDS_BILL,,EN
RECD_CODE,PRNT_PART_NBR,COMP_PART_NBR,QTY_PER
BM,GTS1607-474K/0.20A,GTS1607-474K,1
BM,GTS1608-3/A,GTS1608-3,1
BM,GTS1608-4/A,GTS1608-4,1
BM,GTS1612-102K/A,GTS1612-102K,1
BM,GTS1612-103K/A,GTS1612-103K,1
BM,GTS1612-103K/B,GTS1612-103K,1
BM,GTS1612-103K/C,GTS1612-103K,1
BM,GTS1612-103K/D,GTS1612-103K,1
BM,GTS1612-103K/0.30,GTS1612-103K,1
BM,GTS1612-104M/A,GTS1612-104M,1
BM,GTS1612-333K/A,GTS1612-333K,1
BM,GTS1613-105K/0.40,GTS1613-105K,1
BM,GTS1613-105K/0.40A,GTS1613-105K,1
BM,GTS1613-225M/A,GTS1613-225M,1
BM,GTS1613-225M/0.40B,GTS1613-225M,1
BM,GTS1615-104K/0.50,GTS1615-104K,1
BM,GTS1616-3K/0.40,GTS1616-3K,1
BM,GTS1616-3K/0.40A,GTS1616-3K,1
BM,GTS1616-3K/0.40B,GTS1616-3K,1
