CDSSYS,CDS_DLF,,EN
PART_NBR,PRICE,LEAD_TIME
77878725,0.85,361
77878583,47.34,362
77878572,10.58,363
77878539,7.39,364
77878538,17.13,365
77878537,14.37,366
77878536,10.73,367
77878535,8.74,368
77878534,19.09,369
77878525,50.28,370
77878523,9.85,371
77875122,3.16,372
77875117,0.61,373
77875108,22.05,374
77874613,14.52,375
77874612,11.64,376
77874586,58.42,377
77874584,47.34,378
77874264,18.4,379
77873620,12.71,380
77873619,9.85,381
77873615,12.16,382
77873614,12.13,383
77873613,7.1,384
77873611,7.55,385
77873594,47.42,386
77873559,0.24,387
77873558,0.12,388
77873547,0.02,389
77873498,0.74,390
77873488,4.57,391
77873478,3.35,392
77873411,5.34,393
77873409,5.3,394
77873405,2.5,395
77873345,1.12,396
77873341,0.57,397
77873340,0.39,398
77873334,0.5,399
77873328,1.11,400
77873113,5.53,401
77872916,0.1,402
77872879,0.07,403
77872874,0.05,404
77872822,0.29,405
77871756,55,406
77871754,42.06,407
77871376,76.92,408
77871333,61.45,409
77870796,7.73,410
77870775,7.22,411
77870549,3.45,412
77856067,3.78,413
77855973,7.23,414
77855969,9.74,415
77855926,27.29,416
77855925,49.87,417
77855924,3.75,418
77855923,6.69,419
77855922,1.45,420
77855909,3.9,421
77855887,7.17,422
77855873,4.15,423
77855868,34.07,424
77855827,1.18,425
77855826,1.18,426
77855825,1.18,427
77855824,1.18,428
77855818,0.73,429
77855817,0.25,430
77852803,6.97,431
77850721,2.43,432
77850720,3.08,433
77850716,2.01,434
77850708,1.29,435
77850637,2.03,436
77850636,1.41,437
77850509,2.2,438
77805262,1.12,439
77804704,11.29,440
77801539,111.78,441
77800598,9.5,442
77800530,47.67,443
77800485,2.36,444
77800262,29.63,445
77800212,3.09,446
77800168,7.09,447
77800167,4.57,448
77800066,2.83,449
77800065,1.25,450
77800064,1.27,451
77800063,1.46,452
77249332,1.52,453
77234652,3.77,454
77209135,14.55,455
77155918,1.48,456
77154294,14.45,457
77154042,6.77,458
77153992,2.46,459
77153679,1.2,460
77153677,2.2,461
77153647,42.99,462
77153246,8.32,463
77153242,7.77,464
77153154,16.41,465
77153153,16.28,466
77153102,3.51,467
77153081,58.79,468
77152788,11.57,469
77152598,11.18,470
77152597,10.65,471
77152596,8.53,472
77151730,3.44,473
77151573,6.38,474
77151057,6.4,475
77150644,2.94,476
77150634,5.84,477
77146404,25.38,478
77146403,1.49,479
77146400,7.96,480
77146399,54.28,481
77144950,1.59,482
77144888,10.47,483
77144881,4.9,484
77139699,9.94,485
77139687,2.55,486
77139686,4.93,487
77139042,5.18,488
77137622,45.22,489
77137212,2.01,490
77137143,12.71,491
77136722,3.16,492
77136712,22.25,493
77087999,4.14,494
77087392,39.48,495
77086964,1.52,496
77086282,3.31,497
77084616,2.03,498
77084066,5.06,499
77084027,4.64,500
77084026,4.64,501
77084025,4.37,502
77081524,3.39,503
7590588,5.38,504
7310153,8.02,505
7310096,43.63,506
7231289,2.2,507
