CDSSYS,CDS_CUST_ENQUIRY,,EN
PART_NO,DATE_REQUESTED,QUOTE_PRICE_1,QUOTE_PRICE_LT_1,QUOTE_QTY_1,QUOTE_PRICE_2,QUOTE_PRICE_LT_2,QUOTE_QTY_2,QUOTE_PRICE_3,QUOTE_PRICE_LT_3,QUOTE_QTY_3,QUOTE_PRICE_4,QUOTE_PRICE_LT_4,QUOTE_QTY_4,QUOTE_REF,QUOTE_VALIDITY
77564863,2015-09-01,1170.04,48,10,1079.04,48,20,1027.04,48,100,0,28,0,CDS5074\2015,2016-09-15
77769931,2015-09-01,0,0,0,0,0,0,0,0,0,0,0,0,,
77102007,2015-09-08,23.75,20,1,23.75,20,5,23.75,20,10,23.75,20,50,CDS5091\2015,2016-09-09
77082334,2015-09-16,1117.156787,2,0,1117.156787,2,0,1117.156787,2,0,0,0,0,CDS5129\2015,2016-09-16
77137160,2015-09-21,8.268306806,2,0,8.268306806,2,0,8.268306806,2,0,0,0,0,CDS5175\2015,2016-09-21
77152728,2015-09-21,0,0,0,0,0,0,0,0,0,0,0,0,,
1775-4017,2015-09-21,100.16,20,2,0,0,0,0,0,0,100.16,20,10,CDS5177\2015,2016-10-01
77133982,2015-09-21,0,0,0,0,0,0,0,0,0,0,0,0,,
77140762,2015-09-21,0,0,0,0,0,0,0,0,0,0,0,0,,
17123-29E,2015-09-21,23.06987592,2,0,23.06987592,2,0,23.06987592,2,0,0,0,0,CDS5180\2015,2016-09-21
17123-29F,2015-09-21,23.06987592,2,0,23.06987592,2,0,23.06987592,2,0,0,0,0,CDS5181\2015,2016-09-21
86603168,2015-09-23,0,0,0,0,0,0,0,0,0,0,0,0,,
GTS474-68,2015-09-23,0,0,0,0,0,0,0,0,0,0,0,0,,
KDC5254,2015-09-28,1602.773417,2,0,1602.773417,2,0,1602.773417,2,0,0,0,0,CDS5187\2015,2016-09-28
77112857,2015-09-28,0,0,0,0,0,0,0,0,0,0,0,0,,
77136464,2015-09-28,0,0,0,0,0,0,0,0,0,0,0,0,,
77133825,2015-09-28,0,0,0,0,0,0,0,0,0,0,0,0,,
77082995,2015-09-28,0,0,0,0,0,0,0,0,0,0,0,0,,
77293366,2015-09-28,0,0,0,0,0,0,0,0,0,0,0,0,,
7061308C,2015-09-28,0,0,0,0,0,0,0,0,0,0,0,0,,
GTS200-4,2015-09-28,0,0,0,0,0,0,0,0,0,0,0,0,,
