CDSSYS,CDS_CUST,,EN
CUST_ID,CUST_NAME,CURRENCY_CD
LGDR112,GOODRICH SIS VERGENNES,GBP
4JST001,JUSTTECH LTD,GBP
4MAN001,BULWELL PRECISION ENGINEERING,GBP
4HGR001,HIGAR ENG & AUTO CO LTD,GBP
4RRO015,ROLLS ROYCE (CANADA) LTD,GBP
4TMJ001,TECHNOGRAPH MICROCIRCUITS LTD,GBP
4LEN001,B/E AEROSPACE CONSUMABLES MNGT,GBP
LGDR131,GOODRICH CORPORATION,USD
4HAC001,HARBIN EMBRAER AIRCRAFT IND.,USD
4FIN004,FINNISH COMMUTOR AIRLINES OY,USD
4SAK001,SOUTH AFRICAN AIRLINK PTY LTD,USD
4WLW001,WELWYN COMPONENTS LTD,GBP
4ZNA001,ARROW NORDIC COMPONENTS AB,USD
4CSC001,SICHUAN AIRLINES,USD
4PBA001,PB AIR CO LTD,USD
4EXK001,EXPRESS JET AIRLINES  INC,USD
4AZA009,ALITALIA EXPRESS S.P.A.,GBP
4LGL001,LUXAIR,GBP
4AKC001,AIR CARAIBES INDUSTRIES,USD
4SSF001,SATENA SERVICIO AEREO,USD
4TSA003,TRANS STATES AIRLINES,USD
4PGA001,PGA PORTUGALIA AIRLINES,USD
4DBL001,LUFTHANSA BOMBARDIER AVIATION,USD
4SAE003,AMERICAN EAGLE AIRLINES,USD
4CHQ001,CHAUTUAQUA AIRLINES,USD
4BRY001,BRITISH AIRWAYS CITIEXPRESS,GBP
4RGI003,REGIONAL COMPAGNIE,USD
4BMA001,BRITISH MIDLAND AIRWAYS LTD,GBP
4CTC003,CITY AIRLINE AB,USD
4LOT001,LOT POLISH AIRLINES S.A.,GBP
4CEH001,CIRCAST ELECTRONICS LTD,GBP
4DLH002,LUFTHANSA TECHNIK AG,EUR
4ZWW001,AWE PLC,GBP
4ABE001,ABLE ENGINEERING,GBP
4ALE900,ROLLS ROYCE CORPORATION,USD
4ANN001,ANDOVER PRECISION LTD,GBP
4AYB001,AUBY ENGINEERING LTD,GBP
4BEV001,BEVERSTON ENGINEERING LTD,GBP
4BWS001,BIFFA WASTE SERVICES,GBP
4CDT001,CULLUM DETUNERS LTD,GBP
4CTJ001,CONTROL TECHNIQUES DYNAMICS,GBP
4DXS001,DIXI AND ASSOCIATES,GBP
4ESZ001,SUNDRY ACCOUNT - EXPORT CUSTOM,GBP
4FAP001,FREEMAN & PROCTOR LTD,GBP
4FGQ001,FT GEARING,GBP
4GDV001,G & D VICKERS (ENG.) LTD.,GBP
4GOQ001,G & O SPRINGS LIMITED,GBP
4HMP001,BROMFORD INDUSTRIES LIMITED,GBP
4HND003,HINDUSTAN AERONAUTICS LIMITED,GBP
4HPK001,HALLITE POLYTEK LTD,GBP
4HPR001,HARTLEY PRECISION ENGINEERING,GBP
4HYW001,HONEYWELL AEROSPACE GMBH,GBP
4IDT001,INDUSTRIA DE TURBO PROPULSORES,GBP
4IDT901,INDUSTRIA DE TURBO PROPULSORES,EUR
4ISH001,ISHIKAWAJIMA & HARIMA HEAVY IN,USD
4KON001,SMITHS AEROSPACE ACTUATION SYS,GBP
4MGE001,GRAVES AIRCRAFT COMPONENTS LTD,GBP
4MMN005,MANNESMANN REXROTH GMBH,GBP
4MPE001,MIDLAND PRECISION EQUIPMENT LT,GBP
4MVA002,MUIRHEAD VATRIC COMPONENTS LTD,GBP
4NOG002,HONEYWELL NORMALAIR GARRETT LT,GBP
4NOG003,HONEYWELL AEROSPACE B MOUTH,GBP
4PGL001,PENNY & GILES CONTROLS LTD,GBP
4PJS005,JET AVIATION GENEVE AG,USD
4PNG002,PRIMROSE ENGINEERING CO LTD,GBP
4RBZ001,HAMPSONS AEROSPACE MACHINING,GBP
4RRO021,ROLLS ROYCE PLC,GBP
4RRO033,ROLLS ROYCE DEFENSE SERVICES,USD
4RRO900,ROLLS ROYCE PLC TRENT,GBP
4RRO901,ROLLS ROYCE PLC PLC,USD
4RRO902,ROLLS ROYCE PLC - EUR,EUR
4RWD001,ROLLS WOOD GROUP,GBP
4SAI005,SUMMIT ENGINEERING (BIRMINGHAM,GBP
4SMO001,SECONDA MONA SPA,GBP
4SVQ001,SANDVIK HARD METALS LTD,GBP
4TBC001,TURBOMECANICA S.A.,USD
4TDX001,TRADEX INSTRUMENTS LTD,USD
4TTD001,TELL TOOL INC,USD
4TXQ001,TAXRALE ELECTRICS LTD,GBP
4WET001,WESTON EU LIMITED,GBP
LAECN11,GOODRICH TAECO AERO SYSTEMS,USD
LAEDE13,GOODRICH GEC NEUSS,GBP
LAEGB23,GOODRICH (SHIRLEY HQ),GBP
LAEGB30,GOODRICH GAS HUYTON,GBP
LAEID11,GOODRICH GAS PT. PINDAD,USD
LAEUS25,GOODRICH GCS MONROE,GBP
LAEUS17,GOODRICH CARGO SYSTEMS,USD
4UCM005,MOOG INC AIRCRAFT GROUP,USD
4ABE003,AE AEROSPACE LTD,GBP
4OTHER,SUNDRY DEBTOR ACCOUNT,GBP
4IKO001,IKON OFFICE SOLUTIONS PLC,GBP
4MLQ001,NORTHWEST ENG (LUNESIDE) LTD,GBP
4DCM001,DELCAM UK TOOLING SERVICES,GBP
4PLM001,POLYMER SEALING SOLUTIONS,GBP
4SBB005,SAAB THALES AEW SYSTEMS AB,USD
LAECA11,GOODRICH ENG CONTROL SYSTEMS,GBP
4ALT001,AEROLITORAL S.A. DE C.V,USD
4BAZ003,BRAZILIAN AERONAUTICAL COMM''N,GBP
4ICQ001,IMPCROSS LTD,GBP
4VLR001,VOLARE S.P.A,USD
4PDR001,PRODRIVE MOTORSPORT LTD,GBP
4MEG001,THIS NUMBER OPENED IN ERROR,GBP
4MEB001,MEGGITT POLYMER SOLUTIONS,GBP
4TUR001,TURNER AVIATION LTD,GBP
4DIS002,ADI AMERICAN DISTRIBUTORS INC,USD
4MCP001,MICRO PRECISION LTD,GBP
4IAE002,IAE INTERNATIONAL AERO ENGINES,USD
4RCC001,ROCHESTER ELECTRONICS LLC,USD
4CQI001,COSWORTH LTD,GBP
4TTP001,TRITECH PRECISION LIMITED,GBP
4GDR020,GOODRICH CONTROL SYSTEMS,GBP
4RRO042,ROLLS ROYCE UK,GBP
4RRG001,AERO ENGINE CONTROLS,GBP
4GDR100,GOODRICH CONTROL SYSTEMS,GBP
4GDR101,GOODRICH ACTUATION SYSTEMS LTD,GBP
4GDR102,GOODRICH TAECO AERO (XIAMEN),GBP
4MOR001,MORGAN AM&T,GBP
4DUN002,DUNLOP LTD,EUR
4AGF001,A F AEROSPACE,GBP
4GDR031,GOODRICH CORPORATION,GBP
4GDR110,TRIMUPH ENGINE CONTROL SYSTEMS,USD
4GDR013,GOODRICH CONTROL SYSTEMS GMBH,GBP
4GDR023,GOODRICH CONTROL SYSTEMS,GBP
4GDR016,GOODRICH CONTROL SYSTEMS,USD
4GDR107,GOODRICH ACTUATION SYSTEMS LTD,USD
4STX001,STOP CHOC LIMITED,GBP
RRGIND1,CONTROLS AND DATA SERVICES LTD,USD
4TCU001,TRIUMPH ACTUATION SYSTEMS LTD,GBP
4ABE002,ABLE ENGINEERING,GBP
4SSL001,SHEEN SPARK LIMITED,GBP
4FOW001,FOWLERS OF BRISTOL (ENGINEERS),GBP
4TRAIN,SUPPLIER TRAINING ASSOCIATION,GBP
4RWA001,RONALDSWAY AIRCRAFT CO LTD.,GBP
4GDR021,GOODRICH CONTROL SYSTEMS,GBP
4PCE001,P.A.C. ENGINEERING LTD.,GBP
4PMX001,PRECISION MICRO LTD,GBP
4OTY001,OTTAWAY ENGINEERING LTD,GBP
4MIX001,MICROFILTREX,GBP
4UND001,UNITED SPRINGS LTD,GBP
4KAW001,KAWASAKI HEAVY INDUSTRIES (KHI,GBP
4ELK001,ELTEK SEMICONDUCTORS LTD,GBP
4TEV001,TRS ENGINEERING SERVICES LTD,GBP
4KSP001,KSB PRECISION LTD,GBP
4GDR069,GOODRICH AEROSPACE EUROPE SAS,EUR
4RRO028,ROLLS ROYCE POWER ENG. PLC,GBP
4SVQ002,SANDVIK HARD MATERIALS S.A.S.,GBP
4TDC001,TRUSTED COMPONENTS LLC,USD
4BEB002,B/E AEROSPACE INC,GBP
4FCE001,FUCINE UMBRE SRL,EUR
4PWL001,"POWELL ELECTRONICS, INC",GBP
4VSK002,VULCAN OPERATING COMPANY,GBP
4MGV001,MORGAN AM & T LUXEMBOURG,GBP
4PTT002,PATTONAIR LIMITED,GBP
4PKD001,PRO-TEK ENGINEERING,GBP
4EUM001,EUROMAG S. A. S.,GBP
4TGI001,TRIUMPH ENGINE CONTROL SYSTEMS,USD
4SFN001,SAFRAN POWER UK,GBP
4RBH001,BENHAM MANUFACTURING,GBP
4PAC001,PRECISION COMP ENG LTD,GBP
4RME001,RAYTHEON MICROELECTRONICS ESP,GBP
4SSS001,SOLID STATE SUPPLIES LTD,GBP
4SEN110,SENIOR CALORSTAT,EUR
4ARN001,ARNOLD MAGNETIC TECHNOLOGIES,GBP
4NAS001,NASMYTH ARDEN,GBP
4SAG100,SAGEM DEFENSE SECURITE,GBP
4OEC111,OECO LLC,GBP
4AZE001,AZEGO TS LTD,GBP
4ARR001,ARROWSMITH ENG (COV) LTD,GBP
4MID001,MIDLAND AEROSPACE LTD,GBP
4LYN001,LYNCOLEC LTD,GBP
4CDS001,CONTROLS AND DATA SERVICES,GBP
4BOD001,BODYCOTE HEAT TREATMENTS,GBP
4LGF001,LG FUEL CELL SYSTEMS INC,GBP
